Final_Submission,Inspiration,Dino_Similarity,Color_Similarity,Contrast_Similarity,ResNet_Similarity,Source
1_data\1\final\2.png,data\1\web\1B_2.JPG,0.5408465736319524,0.8139810340382859,0.9331850363191032,0.7510486413500085,Web
1_data\1\final\2.png,data\1\web\1B_3.JPG,0.5818258523119426,0.735687202217559,0.8385029241239992,0.8432421988845024,Web
1_data\1\final\2.png,data\1\web\1B_4.JPG,0.6700238181447867,0.8776479895792757,0.956073738430916,0.8327705959085351,Web
1_data\1\final\2.png,data\1\web\1B_5.JPG,0.5203738157359602,0.7822943155392204,0.9424623580146336,0.7186456785381364,Web
1_data\1\final\2.png,data\1\web\1B_6.JPG,0.877051623514319,0.864648472474238,0.9132384470254292,0.7208915217757288,Web
1_data\1\final\2.png,data\1\web\1B_7.JPG,0.9065126712009935,0.883189364132225,0.960853412181114,0.8331890400835988,Web
1_data\1\final\2.png,data\1\web\1B_8.JPG,0.5012295555402728,0.7384569636025957,0.9129194050066892,0.7610027062282458,Web
1_data\1\final\2.png,data\1\web\1B_9.JPG,0.6463729987510325,0.5831051301701768,0.8941968397400107,0.7420902293552945,Web
1_data\1\final\2.png,data\1\ai\1A_11.png,0.9558463740745458,0.26332308121401704,0.8538740301312437,0.766283180327853,AI
1_data\1\final\2.png,data\1\ai\1A_12.png,0.9558463740745458,0.26332308121401704,0.8538740301312437,0.766283180327853,AI
1_data\1\final\2.png,data\1\ai\1A_13.png,0.9361554830181416,0.2321884658281857,0.8339155295569967,0.7587331875777786,AI
1_data\1\final\2.png,data\1\ai\1B_11.png,0.9283484593051419,0.6072544448706177,0.9817136807351837,0.7624639398554525,AI
1_data\1\final\2.png,data\1\ai\1B_12_1.png,0.8904657628044853,0.43607772585979176,0.8926500150785213,0.687395633343273,AI
1_data\1\final\2.png,data\1\ai\1B_12_2.png,0.9296192689787648,0.606150300454271,0.9822860346205151,0.7749819126808993,AI
1_data\1\final\2.png,data\1\ai\1B_12_3.png,0.97117800447897,0.5536842951782573,0.9042027348514066,0.7213004315085035,AI
1_data\1\final\2.png,data\1\ai\1B_12_4.png,0.9602476626624378,0.3947962767719613,0.8734469702834758,0.7816119924429368,AI
1_data\1\final\2.png,data\1\ai\1B_13_1.png,0.9477982920412349,0.8256106865132207,0.9264292998672424,0.769515891906635,AI
1_data\1\final\2.png,data\1\ai\1B_13_2.png,0.8612872659863154,0.7834536260219311,0.9696054632312052,0.8492484690122859,AI
1_data\1\final\2.png,data\1\ai\1B_13_3.png,0.801737294665948,0.8117203050404032,0.9475524117118618,0.7737588258537865,AI
1_data\1\final\2.png,data\1\ai\1B_13_4.png,0.9693246260440176,0.7770046797072614,0.8668817221263285,0.8516230807850617,AI
1_data\1\final\2.png,data\1\ai\1B_14.png,0.9157921449871435,0.7516379633527568,0.9420322533659381,0.7552033013595633,AI
1_data\1\final\2.png,data\1\ai\1B_15_1.png,0.8516691594681348,0.7230935942547687,0.9330372826726411,0.730319906785293,AI
1_data\1\final\2.png,data\1\ai\1B_15_2.png,0.9159708306382348,0.723099764952038,0.9434015993568782,0.7535616632288218,AI
1_data\1\final\2.png,data\1\ai\1B_15_3.png,0.9589731052747845,0.7724513572618001,0.9625405146614157,0.7079377499476811,AI
1_data\1\final\2.png,data\1\ai\1B_15_4.png,0.4692205642389262,0.6645701540248637,0.9249145097031339,0.8061577177801869,AI
1_data\1\final\2.png,data\1\ai\1B_16_1.png,0.9492897483783963,0.7294194388452702,0.9670415372859124,0.7738359584206186,AI
1_data\1\final\2.png,data\1\ai\1B_16_2.png,0.9176573019519056,0.7851851940948434,0.9320628864846071,0.8228920566686541,AI
1_data\1\final\2.png,data\1\ai\1B_16_3.png,0.9411017293801297,0.8181658767243473,0.9175368713955161,0.7992132156797439,AI
